Prompt;Number of statements;Parameters
"Input text:
Textual context: Using 14.6 dm³ of fuel means the vehicle couldn’t have operated more than 2.4 hours.
Given that the vehicle consumed 34.6 dm³ of fuel, it wouldn't have gone further than 44.6 km.
With a total operation time of 10.0 hours, PTO operation time couldn't exceed 10.0 hours.
Given an operation time of 2.9 hours, idle time wouldn't be more than 2.9 hours.
Driving time of 3.3 hours means the total operation time couldn't be less than 3.3 hours.
If axle 1 supports 4138.2 kg, axle 3 must bear more than 4138.2 kg.
Given a payload of 1762.2 kg, axle 2 load must exceed 1762.2 kg.
With a payload of 509.7 kg, axle 3 must have more than 509.7 kg.
If PTO time is 2.0, idle time is 2.0, and driving time is 2.6, total operation time must be at least 6.6.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a total operation time of 6.7 hours, the vehicle must have used at least 62.6 dm³ of fuel.
With a fuel consumption of 95.3 dm³, the vehicle couldn't have run beyond 9.6 hours.
When the vehicle used 53.6 dm³ of fuel, it couldn’t have traveled more than 63.6 km.
Given that PTO time was 0.2 hours, the total operation time couldn't be under 0.2 hours.
With a total operation time of 2.9 hours, idle time couldn't surpass 2.9 hours.
Given that driving time was 3.8 hours, the total operation time couldn't be under 3.8 hours.
When axle 1 has 7056.7 kg load, axle 2 must be loaded with more than 7056.7 kg.
With axle 2 supporting 8872.2 kg, axle 1 must have less than 8872.2 kg.
When the payload is 2703.9 kg, axle 2 needs to be loaded with more than 2703.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: When the vehicle consumed 85.2 dm³ of fuel, it couldn't have run for more than 8.7 hours.
Given that the vehicle consumed 99.7 dm³ of fuel, it wouldn't have gone further than 109.7 km.
When PTO time was 1.0 hours, the overall operation time couldn't have been under 1.0 hours.
Driving time of 4.6 hours means the total operation time couldn't be less than 4.6 hours.
If stops equal 107, PTO-engaged stops can't exceed 107.
If PTO-engaged stops are 244, then the total stops cannot be fewer than 244.
If axle 1 supports 3481.2 kg, axle 2 must bear more than 3481.2 kg.
If the payload is 5024.8 kg, axle 3 must carry more than 5024.8 kg.
If axle 3 is loaded with 6976.8 kg, the payload must be less than 6976.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['driving time', 'total operation time'], ['stops', 'stops with PTO engaged'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: With a total operation time of 5.7 hours, the vehicle must have used at least 51.3 dm³ of fuel.
With a fuel consumption of 43.6 dm³, the vehicle couldn't have run beyond 5.0 hours.
Consuming 54.0 dm³ of fuel means the vehicle couldn't have traveled beyond 64.0 km.
Given an operation time of 3.2 hours, driving time wouldn't be more than 3.2 hours.
If there are 235 PTO-engaged stops, total stops can't be under 235.
If axle 2 is loaded with 9407.1 kg, axle 1 must carry less than 9407.1 kg.
When the payload is 641.8 kg, axle 2 needs to be loaded with more than 641.8 kg.
If the payload is 2739.9 kg, axle 3 must bear more than 2739.9 kg.
If the load on axle 3 is 5244.3 kg, the payload must be under 5244.3 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Operating for 9.4 hours means the vehicle couldn't have used less than 93.8 dm³ of fuel.
Given that idle time was 2.3 hours, total operation time couldn't be under 2.3 hours.
When the total operation time was 3.4 hours, driving time couldn't have exceeded 3.4 hours.
Driving time of 3.6 hours means the total operation time couldn't be less than 3.6 hours.
Given that PTO-engaged stops are 38, the stops must be at least 38.
Given axle 2 load is 10163.5 kg, axle 1 load must be below 10163.5 kg.
If axle 1 supports 5637.7 kg, axle 3 must bear more than 5637.7 kg.
With axle 2 supporting 10812.2 kg, the payload must be less than 10812.2 kg.
When the payload is 648.7 kg, axle 3 needs to be loaded with more than 648.7 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['idle time', 'total operation time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load']]
"Input text:
Textual context: If the vehicle used 88.2 dm³ of fuel, operating for over 9.0 hours is impossible.
Consuming 20.2 dm³ of fuel means the vehicle couldn't have traveled beyond 30.2 km.
With a total operation time of 7.9 hours, idle time couldn't surpass 7.9 hours.
If the vehicle's operation time was 9.5 hours, driving time couldn't be more than 9.5 hours.
With axle 1 load at 6985.7 kg, axle 2 load should exceed 6985.7 kg.
If the payload is 8261.2 kg, axle 2 must bear more than 8261.2 kg.
If axle 2 is loaded with 7258.0 kg, the payload must be less than 7258.0 kg.
When the payload is 6836.1 kg, axle 3 needs to be loaded with more than 6836.1 kg.
If axle 3 is loaded with 6557.6 kg, the payload must be less than 6557.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: When the vehicle's operation time was 8.5 hours, it definitely consumed no less than 83.4 dm³ of fuel.
If the vehicle used 49.3 dm³ of fuel, operating for over 5.5 hours is impossible.
With a distance of 76.2 km traveled, it is not feasible the vehicle consumed below 66.2 dm³ of fuel.
If there are 82 PTO-engaged stops, total stops can't be under 82.
If the load on axle 2 is 9747.4 kg, axle 1 must bear less than 9747.4 kg.
If the load on axle 3 is 4827.9 kg, axle 1 must bear less than 4827.9 kg.
Given axle 2 load is 7740.3 kg, the payload must be below 7740.3 kg.
Given a payload of 443.2 kg, axle 3 load must exceed 443.2 kg.
When axle 3 has 5781.8 kg, the payload needs to be under 5781.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Consuming 68.4 dm³ of fuel means the vehicle couldn't have traveled beyond 78.4 km.
PTO operation of 1.7 hours means the total time couldn't be less than 1.7 hours.
When the total operation time was 2.2 hours, idle time couldn't have surpassed 2.2 hours.
When the total operation time was 3.3 hours, driving time couldn't have exceeded 3.3 hours.
When driving time was 1.6 hours, the overall operation time couldn't have been under 1.6 hours.
With axle 3 supporting 6752.7 kg, axle 1 must have less than 6752.7 kg.
When the payload is 6552.1 kg, axle 2 needs to be loaded with more than 6552.1 kg.
Given axle 2 load is 9785.4 kg, the payload must be below 9785.4 kg.
With a payload of 2361.5 kg, axle 3 must have more than 2361.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load']]
"Input text:
Textual context: With a fuel consumption of 78.2 dm³, the vehicle couldn't have run beyond 8.1 hours.
With a fuel consumption of 36.1 dm³, the vehicle couldn't have traveled more than 46.1 km.
With a total operation time of 8.7 hours, idle time couldn't surpass 8.7 hours.
When the total operation time was 6.7 hours, driving time couldn't have exceeded 6.7 hours.
Driving time of 4.3 hours means the total operation time couldn't be less than 4.3 hours.
Given that PTO-engaged stops are 26, the stops must be at least 26.
If the load on axle 2 is 8046.7 kg, axle 1 must bear less than 8046.7 kg.
With axle 1 load at 7705.0 kg, axle 3 must have more than 7705.0 kg.
If the payload is 2552.1 kg, axle 3 must bear more than 2552.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the vehicle's operation time was 5.1 hours, it definitely consumed no less than 45.4 dm³ of fuel.
With a fuel consumption of 90.1 dm³, the vehicle couldn't have run beyond 9.1 hours.
With a fuel consumption of 22.9 dm³, the vehicle couldn't have traveled more than 32.9 km.
Operating for 6.5 hours means PTO time couldn't have surpassed 6.5 hours.
With a total operation time of 3.5 hours, driving time couldn't exceed 3.5 hours.
If stops equal 242, PTO-engaged stops can't exceed 242.
When axle 1 carries 2955.6 kg, axle 3 needs to be loaded with more than 2955.6 kg.
If the payload is 4832.9 kg, axle 2 must bear more than 4832.9 kg.
If axle 3 is loaded with 4752.1 kg, the payload must be less than 4752.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: When the vehicle consumed 85.3 dm³ of fuel, it couldn't have run for more than 8.7 hours.
If the vehicle operated for 6.7 hours, PTO time couldn't have been greater than 6.7 hours.
Given that idle time was 3.9 hours, total operation time couldn't be under 3.9 hours.
When driving time was 2.8 hours, the overall operation time couldn't have been under 2.8 hours.
Given that PTO-engaged stops are 58, the stops must be at least 58.
When axle 1 has 2330.0 kg load, axle 2 must be loaded with more than 2330.0 kg.
If the load on axle 2 is 9568.6 kg, axle 1 must bear less than 9568.6 kg.
When axle 2 has 9569.4 kg, the payload needs to be under 9569.4 kg.
With a payload of 1687.4 kg, axle 3 must have more than 1687.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'axle 1 load'], ['axle 2 load', 'payload'], ['payload', 'axle 3 load']]
"Input text:
Textual context: If the vehicle used 35.8 dm³ of fuel, traveling over 45.8 km is impossible.
With PTO operation time at 3.4 hours, the total time couldn't be less than 3.4 hours.
Given an operation time of 5.7 hours, idle time wouldn't be more than 5.7 hours.
With a total operation time of 3.2 hours, driving time couldn't exceed 3.2 hours.
If driving time was 2.5 hours, the vehicle's total operation time wouldn't be below 2.5 hours.
Given that PTO-engaged stops are 186, the stops must be at least 186.
With axle 1 load at 3142.1 kg, axle 2 load should exceed 3142.1 kg.
With axle 3 supporting 6074.8 kg, axle 1 must have less than 6074.8 kg.
If the load on axle 2 is 10134.0 kg, the payload must be under 10134.0 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";9;[['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['total operation time', 'idle time'], ['total operation time', 'driving time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload']]
